"Wr.Hnd","NW.Hnd","W.Hnd","Height","Age","Sex"
18.5,18,"Right",173,18.25,"Female"
19.5,20.5,"Left",177.8,17.583,"Male"
20,20,"Right",165,23.667,"Male"
18,17.7,"Right",172.72,21,"Female"
17.7,17.7,"Right",182.88,18.833,"Male"
17,17.3,"Right",157,35.833,"Female"
20,19.5,"Right",175,19,"Male"
18.5,18.5,"Right",167,22.333,"Male"
17,17.2,"Right",156.2,28.5,"Female"
19.5,20.2,"Right",155,17.5,"Female"
18,18,"Right",157,19.333,"Female"
19.4,19.2,"Left",182.88,18.333,"Male"
21,20.9,"Right",177,17.917,"Male"
21.5,22,"Right",190.5,17.917,"Male"
20.1,20.7,"Right",180.34,18.167,"Male"
18.5,18,"Right",180.34,17.833,"Male"
21.5,21.2,"Right",184,18.25,"Male"
21,20.7,"Right",172.72,17.5,"Male"
20.8,21.4,"Right",175.26,18.083,"Male"
19.5,19.5,"Right",167,19.25,"Male"
18.8,18.2,"Right",180,17.5,"Male"
17.1,17.5,"Right",166.4,39.75,"Female"
20.1,20,"Right",180,17.167,"Male"
22.2,21,"Right",190,18,"Male"
19.4,18.5,"Right",182.5,17.917,"Male"
22,22,"Right",185,35.5,"Male"
17.8,18,"Right",154.94,17.083,"Female"
20.1,20.2,"Right",176.5,17.5,"Female"
23.2,22.7,"Right",180,18.917,"Male"
22.5,23,"Right",170,19.417,"Male"
18,17.6,"Right",168,18.417,"Female"
18,17.9,"Right",165,30.75,"Female"
22,21.5,"Left",200,18.5,"Male"
20.5,20,"Right",190,17.5,"Male"
17,18,"Right",170.18,18.333,"Male"
20.5,19.5,"Right",179,17.417,"Male"
22.5,22.5,"Right",182,20,"Male"
15.5,15.4,"Right",157.48,17.167,"Female"
19.5,19,"Right",177.8,17.667,"Male"
22.8,23.2,"Right",187,20.333,"Male"
18.5,18.2,"Right",167.64,17.333,"Female"
19.6,19.7,"Right",178,17.5,"Female"
17.3,18,"Right",164,18.583,"Female"
18,17.5,"Right",170,17.583,"Female"
17,16.6,"Right",171,17.667,"Female"
16.5,17,"Right",167.64,17.417,"Female"
15.6,15.8,"Right",165,17.75,"Female"
17.5,17.5,"Right",170,20.667,"Female"
17,17.6,"Right",165,23.583,"Female"
18.3,18.5,"Right",165.1,17.083,"Female"
19.2,18.9,"Right",176.5,20.167,"Male"
23,23.5,"Right",167.64,17.167,"Male"
17.7,17,"Right",167,17.25,"Female"
18.2,18,"Right",162.56,18,"Female"
18.3,18.5,"Right",170,18.75,"Female"
18,18,"Right",179,21.583,"Male"
20.5,20,"Right",183,19.667,"Male"
18.2,17.5,"Right",165,19.667,"Female"
21.3,20.8,"Right",179,22.833,"Male"
20,19.5,"Right",190,19.417,"Male"
17.5,17.5,"Right",166.5,23.25,"Female"
